model_name,fold,final_accuracy,final_loss,best_accuracy,best_loss,epochs_trained,training_time_seconds,model_size_mb,timestamp,learning_rate,batch_size,weight_decay,warmup_steps,accuracy,precision,recall,f1_score,ham_precision,ham_recall,ham_f1_score,ham_support,spam_precision,spam_recall,spam_f1_score,spam_support,macro_avg_precision,macro_avg_recall,macro_avg_f1_score,macro_avg_support,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1_score,weighted_avg_support,final_train_loss,final_train_accuracy,final_val_loss,final_val_accuracy
Mobilebert + Deit,3,0.4828,0.7035,0.4828,0.7035,3,2249,424.00577545166016,2025-09-08T07:58:41.162403,0.0005,40,0.01,183,0.4828,0.2331,0.4828,0.3144,0.0,0.0,0.0,3164.0,0.482837528604119,1.0,0.6512345679012346,2954.0,0.2414187643020595,0.5,0.3256172839506173,6118.0,0.23313207902853345,0.482837528604119,0.3144404893070034,6118.0,0.7191,0.4978,0.7035,0.4828
Mobilebert + Deit,4,0.534,0.7178,0.534,0.7178,3,2253,424.00577545166016,2025-09-08T08:36:14.822189,0.0005,40,0.01,183,0.534,0.2852,0.534,0.3718,0.5339980385746976,1.0,0.6962173681406499,3267.0,0.0,0.0,0.0,2851.0,0.2669990192873488,0.5,0.34810868407032497,6118.0,0.28515390520162426,0.5339980385746976,0.37177870900874527,6118.0,0.7688,0.5132,0.7178,0.534
Mobilebert + Deit,5,0.4836,0.8612,0.4836,0.8612,3,2243,424.00577545166016,2025-09-08T09:13:38.558770,0.0005,40,0.01,183,0.4836,0.2338,0.4836,0.3152,0.0,0.0,0.0,3160.0,0.4835757476711881,1.0,0.6519057061026657,2959.0,0.24178787383559405,0.5,0.32595285305133287,6119.0,0.23384550373574858,0.4835757476711881,0.3152457892397104,6119.0,0.8092,0.4815,0.8612,0.4836
Mobilebert + Mobilevit,1,0.4853,0.697,0.5147,0.696,3,2065,115.05716705322266,2025-09-08T03:47:56.566461,0.0005,40,0.01,183,0.5147,0.2355,0.4853,0.3171,0.0,0.0,0.0,3149.0,0.485289310232102,1.0,0.6534609882249367,2969.0,0.242644655116051,0.5,0.32673049411246835,6118.0,0.2355057146255493,0.485289310232102,0.31711763223926726,6118.0,0.712,0.5021,0.697,0.4853
Mobilebert + Mobilevit,2,0.4881,0.7578,0.5119,0.6929,3,2074,115.05716705322266,2025-09-08T04:22:31.712618,0.0005,40,0.01,183,0.5119,0.2382,0.4881,0.3202,0.0,0.0,0.0,3132.0,0.4880679960771494,1.0,0.6559753954305799,2986.0,0.2440339980385747,0.5,0.32798769771528996,6118.0,0.23821036879476432,0.4880679960771494,0.3201605967237188,6118.0,0.7575,0.4889,0.7578,0.4881
Mobilebert + Mobilevit,3,0.4828,0.7074,0.4828,0.7074,3,2075,115.05716705322266,2025-09-08T04:57:07.713317,0.0005,40,0.01,183,0.4828,0.2331,0.4828,0.3144,0.0,0.0,0.0,3164.0,0.482837528604119,1.0,0.6512345679012346,2954.0,0.2414187643020595,0.5,0.3256172839506173,6118.0,0.23313207902853345,0.482837528604119,0.3144404893070034,6118.0,0.7634,0.4829,0.7074,0.4828
Mobilebert + Mobilevit,4,0.534,0.8691,0.534,0.8512,3,2072,115.05716705322266,2025-09-08T05:31:40.820364,0.0005,40,0.01,183,0.534,0.2852,0.534,0.3718,0.5339980385746976,1.0,0.6962173681406499,3267.0,0.0,0.0,0.0,2851.0,0.2669990192873488,0.5,0.34810868407032497,6118.0,0.28515390520162426,0.5339980385746976,0.37177870900874527,6118.0,0.8986,0.5146,0.8691,0.534
Mobilebert + Mobilevit,5,0.5164,0.7184,0.5164,0.7092,3,2073,115.05716705322266,2025-09-08T06:06:14.655315,0.0005,40,0.01,183,0.5164,0.2667,0.5164,0.3517,0.516424252328812,1.0,0.6811078780040953,3160.0,0.0,0.0,0.0,2959.0,0.258212126164406,0.5,0.34055393900204767,6119.0,0.26669400839337243,0.516424252328812,0.3517406266535285,6119.0,0.7272,0.5158,0.7184,0.5164
Mobilebert + Vit-Tiny,1,0.5147,0.8966,0.5147,0.8966,3,1794,115.58658599853516,2025-09-08T19:06:25.887444,0.0005,40,0.01,183,0.5147,0.2649,0.5147,0.3498,0.514710689767898,1.0,0.679615841156793,3149.0,0.0,0.0,0.0,2969.0,0.257355344883949,0.5,0.3398079205783965,6118.0,0.26492709416134536,0.514710689767898,0.3498055383790031,6118.0,0.9157,0.5199,0.8966,0.5147
Mobilebert + Vit-Tiny,2,0.5119,0.7804,0.5119,0.7804,3,1784,115.58658599853516,2025-09-08T19:36:10.608753,0.0005,40,0.01,183,0.5119,0.2621,0.5119,0.3467,0.5119320039228507,1.0,0.6771891891891891,3132.0,0.0,0.0,0.0,2986.0,0.2559660019614253,0.5,0.33859459459459457,6118.0,0.26207437664046557,0.5119320039228507,0.346674818656512,6118.0,0.7899,0.5206,0.7804,0.5119
